GEOID,av_education,affected_population,total_population,percentage
900100,14.30331817,2600.820581,23599,11.02089318
900101,15.48766044,1438.938069,14613,9.846972344
900102,14.19222084,3136.451162,25714,12.1974456
900103,14.42096346,2072.766036,17473,11.86267977
900104,12.08255071,2594.337968,16307,15.90935161
900105,14.15074684,2889.945058,26703,10.82254825
900300,13.83998674,2249.443955,21544,10.44116207
900301,13.18930234,1588.149198,13312,11.93020731
900302,10.94313892,2168.426933,11321,19.15402291
900303,14.8720614,3175.030356,26412,12.02116597
900304,13.4200005,1737.054496,15749,11.02961773
900305,12.75339346,1716.288377,14224,12.06614438
900306,14.08044231,2214.92143,19389,11.42359807
900500,14.24866385,3061.840479,30408,10.06919389
900700,14.38654244,2413.362596,26983,8.944011398
900900,13.80468736,2317.721265,21060,11.00532414
900901,11.98602733,2109.374136,12860,16.40259826
900902,13.00985559,2587.517479,19890,13.00913765
900903,14.09136048,1978.435535,16846,11.74424513
900904,14.0322813,1740.76136,17579,9.902505037
900905,12.92399231,1801.051076,11851,15.19746077
900906,14.57633028,2021.430959,21082,9.588421206
901100,13.52515537,1830.681914,19132,9.56869075
901101,14.50402942,2271.637854,21980,10.33502208
901300,14.07116702,1796.449388,20218,8.885396122
901500,13.58731945,1629.989801,15496,10.51877776
920100,14.30135195,416.0936116,4788,8.690342765
920201,11.79436826,377.429717,2435,15.50019372
920202,13.80042983,705.3872175,6341,11.12422674
920203,14.21446043,349.7094194,4353,8.033756477
920204,13.11417405,511.3281282,4205,12.16000305
920205,13.89136072,585.2043501,4874,12.0066547
920206,12.75308257,553.2976055,5129,10.78763122
920207,15.37013507,595.4325858,5944,10.0173719
920301,13.37784901,342.5556881,3927,8.723088569
920401,14.58567131,460.691961,4773,9.652041923
920402,13.44680358,628.9097457,6359,9.890073057
920500,14.21327,867.3685871,7764,11.17167165
920601,14.33210111,317.0120719,2828,11.20976209
920602,13.74747126,534.9754475,4995,10.71021917
920603,13.56534163,712.3944014,5990,11.89306179
920604,14.58141786,537.9325979,5759,9.340729257
920701,12.25567173,406.0438606,2859,14.20230363
920702,13.63182946,624.9008841,6390,9.779356559
920703,13.35291834,787.8416311,6778,11.62351182
920801,12.30915615,509.8688691,3955,12.89175396
920802,14.55294474,657.7154116,7030,9.355838003
920901,14.60062943,678.8214266,5796,11.71189487
920902,15.77511657,339.6267469,3799,8.939898576
920903,14.06993299,466.4402181,4159,11.2152012
920904,14.13733298,653.7510453,6739,9.701009724
2300100,13.20017858,2815.00104,26301,10.70301905
2300200,13.40982652,3268.103085,35764,9.137968585
2300300,13.41563212,2718.039768,28160,9.652129859
2300400,13.83152965,2342.501147,25477,9.19457215
2300500,14.53708824,3691.45637,44540,8.287957723
2300600,12.97693398,2047.150348,20551,9.961317446
2300700,14.93108063,1931.392118,23885,8.0862136
2300800,14.06944234,3500.404145,40470,8.649380145
2300900,14.72062233,2441.191987,27741,8.799942276
2301000,14.63489859,1929.199131,20395,9.459176909
2500100,14.25668205,2973.690089,30939,9.61146155
2500200,15.23584297,1439.90282,17745,8.114414316
2500201,14.94164554,466.4814359,5707,8.173846782
2500300,13.1137932,2579.555333,20876,12.35655937
2500301,13.67527934,2148.124103,21012,10.2233205
2500302,13.88155923,1782.379184,18628,9.568279925
2500303,14.65575841,1349.559374,15505,8.704026921
2500304,13.51006599,2154.708716,19996,10.77569872
2500400,13.99441703,1342.003908,15741,8.525531465
2500401,13.47648841,600.1817371,5829,10.29647859
2500402,12.32238344,584.7897733,3737,15.64864258
2500403,13.64606303,593.7237056,5755,10.31665866
2500501,14.12577758,1874.138987,19441,9.640136758
2500502,12.17392345,1752.152993,14448,12.12730477
2500503,15.12591888,2697.512998,26997,9.991899094
2500504,14.24416331,2342.067026,22702,10.31656694
2500505,15.19797306,2108.874251,21077,10.00557124
2500506,15.60757362,1459.728068,15359,9.504056695
2500507,13.2044012,1941.531491,16965,11.44433534
2500508,12.60844416,1958.366413,13829,14.16130171
2500601,14.27627423,306.6923727,4163,7.367099993
2500602,11.89392461,426.2229382,3197,13.33196554
2500603,13.26078611,498.5042824,4091,12.18538945
2500604,16.08236984,382.6538134,4778,8.008660809
2500605,14.43850816,349.0870019,3644,9.579775024
2500606,15.85344165,268.6133266,3947,6.805506122
2500607,15.66079505,413.3213323,4819,8.576910819
2500608,13.98337055,695.083509,6077,11.43793828
2500609,12.99352967,488.6482946,4220,11.57934347
2500610,12.20696189,324.2457321,2616,12.39471453
2500611,16.61366412,242.0819069,3164,7.651134857
2500612,15.77509592,287.9800066,3731,7.718574286
2500613,16.62573293,412.0353404,5249,7.849787395
2500701,12.35597393,3307.594393,25629,12.90567089
2500702,14.368581,1918.740864,19343,9.919561931
2500703,14.70099028,3604.865792,39518,9.122085611
2500704,13.14127785,2485.686016,20771,11.96709843
2500705,12.08370998,417.7748677,3097,13.48966315
2500706,14.69815062,563.4672389,6383,8.827623984
2500801,14.10223844,240.316331,2020,11.89684807
2500802,14.03114108,524.9672352,3761,13.95818227
2500803,12.74030099,445.2600583,2798,15.91351174
2500804,11.22890147,641.9299288,3551,18.07744097
2500805,14.20934839,564.9831761,4417,12.79110655
2500806,12.63006828,449.2797326,3785,11.87000615
2500901,15.66359608,388.4857957,4106,9.461417332
2500902,15.48606998,403.2444999,4120,9.787487861
2500903,12.35024433,453.0977451,3845,11.7840766
2500904,13.04528038,659.9514733,5001,13.19639019
2500905,13.90215853,539.5896345,4949,10.90300332
2500906,13.8544537,421.504512,4565,9.233395662
2501000,13.77721568,2743.842894,23008,11.92560368
2501001,13.39694826,438.9459774,4146,10.58721605
2501002,13.51114984,549.5498895,5243,10.4815924
2501003,11.88826066,484.9143742,4346,11.15771685
2501004,12.18406323,821.4834837,6051,13.57599543
2501101,12.60913997,362.2388245,2633,13.7576462
2501102,13.50999027,473.4128064,5130,9.228319812
2501103,15.2834187,533.6755549,6283,8.493960765
2501104,14.31001964,579.1747885,6885,8.412124743
2501201,14.96228627,664.8132775,7929,8.384579108
2501300,14.03802137,1591.12364,16918,9.40491571
2501301,15.46912205,759.5353845,9276,8.188177927
2501400,15.42332699,1596.340285,16657,9.5836002
2501600,14.41182082,2144.662158,24487,8.758370391
2501900,11.93222397,2507.522192,16658,15.05296069
2501901,13.3494873,2529.062031,21057,12.01055246
2501902,13.33791016,2557.607773,22043,11.60281165
2502400,14.71044617,1361.281486,15656,8.694950731
2502800,13.98604734,2392.723393,21958,10.89681844
2503301,13.51738186,936.774849,6869,13.63771799
2503302,13.54355784,1983.37589,15771,12.57609467
2503303,12.38925056,1619.083426,11764,13.76303491
2503304,11.27652807,2862.824351,14142,20.24341926
2503305,14.09433107,2331.355691,17242,13.52137624
2503306,11.99124582,1877.457186,12959,14.48767024
2503400,16.90014075,1751.322365,21342,8.205989902
2503500,16.45337766,1542.687444,16055,9.608766393
2503601,14.55722573,1702.090459,16920,10.05963628
2503602,13.78976459,2219.033742,18058,12.28836938
2503603,13.27178173,1990.044093,17046,11.67455176
2503900,14.1275684,2118.455849,21160,10.01160609
2504000,12.00356717,2459.254949,16956,14.50374469
2504200,13.36699428,1758.115282,18335,9.588848007
2504301,13.67877869,1966.151638,20051,9.805753518
2504302,11.78743937,2199.993641,15534,14.16244136
2504303,12.53378457,2005.374806,16446,12.19369334
2504500,11.57764544,2164.647325,15788,13.71071272
2504700,15.06718531,2627.87205,30861,8.515187617
2504800,15.47156025,2855.175278,32167,8.876100594
2504901,13.65048003,1466.411549,15786,9.289316794
2504902,13.58604802,1404.244529,15939,8.810116876
2504903,14.84245054,2129.237516,24218,8.791962654
3300100,14.18501058,2622.629241,29302,8.950342096
3300200,14.32092823,2252.509104,26300,8.564673399
3300201,14.70927212,580.6129884,6962,8.33974416
3300300,14.10276228,1914.816309,19954,9.596152696
3300301,14.43180868,427.6490613,5405,7.912101042
3300400,14.08502699,1638.274215,18094,9.054240164
3300401,14.6622523,360.5880786,4492,8.027339239
3300500,14.23721216,1928.093325,20858,9.243903177
3300501,14.65141233,357.0892008,4580,7.796707442
3300600,14.64212401,1257.746506,15761,7.980118685
3300601,13.83682723,337.4398472,3483,9.688195441
3300602,14.44697846,310.7406852,3624,8.574522218
3300603,14.4595767,352.5995236,3696,9.540030399
3300700,13.92740463,1691.279947,19211,8.803705933
3300701,14.40232599,521.810273,6190,8.429891325
3300800,13.18120998,1657.476109,13184,12.57187583
3300801,14.70256159,731.6815018,8848,8.269456394
3300900,13.80744239,1771.852062,18771,9.439305643
3301000,14.55812323,2961.519842,33142,8.935851311
4400101,13.06612918,2294.622227,21846,10.50362642
4400102,12.52530545,2752.984628,23118,11.9084031
4400103,12.68985773,3361.791132,22548,14.90948702
4400104,12.947435,2276.200629,18232,12.48464584
4400105,13.36635011,751.5495193,6831,11.00204244
4400106,11.70930725,632.5235051,4893,12.92711026
4400107,13.87815471,589.5717551,5551,10.62100081
4400200,13.71342905,699.760366,7211,9.704068312
4400201,13.53678249,2654.968752,25663,10.34551203
4400300,14.6591939,2990.666415,30789,9.713424975
4400400,14.99392149,2413.678213,28414,8.49467943
5000100,14.27482769,3017.429793,34920,8.64097879
5000200,14.14887529,2673.512551,30663,8.719018201
5000300,14.64149714,2469.803978,30284,8.155474765
5000400,14.31181288,3037.24635,34464,8.812808582